timestamp,open,high,low,close,volume
2026-02-08 13:00,645.18,646.54,641.57,644.98,7317.572
2026-02-08 14:00,644.99,647.17,643.37,646.95,6853.196
2026-02-08 15:00,646.94,648.34,641.04,643.85,5909.888
2026-02-08 16:00,643.85,645.46,632.3,634.94,7179.118
2026-02-08 17:00,634.85,639.92,634.79,639.15,5484.828
2026-02-08 18:00,639.15,649.99,638.95,646.54,6134.385
2026-02-08 19:00,646.54,649.5,645.65,648.58,2638.43
2026-02-08 20:00,648.58,648.76,643.21,643.82,2072.764
2026-02-08 21:00,643.82,646.49,640.23,641.74,1996.372
2026-02-08 22:00,641.74,644.71,641.62,643.98,2217.8
2026-02-08 23:00,643.97,653.0,636.27,639.93,14132.874
2026-02-09 00:00,639.93,643.2,635.87,639.95,5146.635
2026-02-09 01:00,639.94,643.44,633.81,636.89,6000.325
2026-02-09 02:00,636.89,643.78,635.61,640.3,5561.634
2026-02-09 03:00,640.31,646.15,640.31,645.03,4958.283
2026-02-09 04:00,645.02,645.36,641.59,642.46,2867.616
2026-02-09 05:00,642.46,642.46,640.32,641.76,2000.35
2026-02-09 06:00,641.77,641.77,633.93,636.0,5840.601
2026-02-09 07:00,636.0,637.48,631.16,632.05,8471.906
2026-02-09 08:00,632.05,633.62,622.29,625.94,12916.953
2026-02-09 09:00,625.94,628.45,623.91,625.22,7109.577
2026-02-09 10:00,625.22,626.66,616.01,618.48,10426.079
2026-02-09 11:00,618.48,623.09,618.47,621.83,8507.069
2026-02-09 12:00,621.84,627.8,621.72,626.98,4710.89
2026-02-09 13:00,626.98,631.25,625.2,625.34,6342.803
2026-02-09 14:00,625.34,631.7,622.0,628.18,10919.931
2026-02-09 15:00,628.14,632.5,625.01,631.08,9166.664
2026-02-09 16:00,630.98,638.5,627.18,635.58,8934.254
2026-02-09 17:00,635.59,642.78,632.06,640.3,7893.203
2026-02-09 18:00,640.3,643.47,636.31,640.35,4216.097
2026-02-09 19:00,640.35,642.97,639.11,642.48,3429.481
2026-02-09 20:00,642.48,644.07,638.21,640.92,4094.886
2026-02-09 21:00,640.92,641.28,633.44,638.34,4764.164
2026-02-09 22:00,638.34,640.29,637.16,637.94,2596.418
2026-02-09 23:00,637.95,639.96,635.87,636.39,1875.422
2026-02-10 00:00,636.38,638.3,635.68,636.49,2521.442
2026-02-10 01:00,636.49,642.0,636.36,640.85,3856.601
2026-02-10 02:00,640.85,641.0,637.28,638.23,2270.46
2026-02-10 03:00,638.24,638.84,630.01,633.21,6404.342
2026-02-10 04:00,633.2,638.0,632.93,637.64,3424.698
2026-02-10 05:00,637.64,639.51,635.57,637.62,3773.65
2026-02-10 06:00,637.61,638.05,628.4,629.77,9134.74
2026-02-10 07:00,629.77,633.75,629.49,631.75,4979.652
2026-02-10 08:00,631.74,634.05,629.16,633.55,6281.747
2026-02-10 09:00,633.56,635.38,628.02,629.95,19180.137
2026-02-10 10:00,629.95,630.3,626.61,627.14,5224.056
2026-02-10 11:00,627.14,630.46,625.05,626.46,6903.145
2026-02-10 12:00,626.47,628.99,624.66,624.81,9116.154
2026-02-10 13:00,624.82,627.41,623.0,624.95,9959.68
2026-02-10 14:00,624.95,627.19,613.8,617.48,22467.89
2026-02-10 15:00,617.49,622.58,615.33,619.4,11372.394
2026-02-10 16:00,619.39,623.49,616.81,621.22,4877.888
2026-02-10 17:00,621.23,625.58,619.14,623.75,4440.802
2026-02-10 18:00,623.75,624.24,613.98,615.85,4693.13
2026-02-10 19:00,615.84,619.28,614.12,617.29,4204.144
2026-02-10 20:00,617.28,618.95,615.5,617.92,1820.663
2026-02-10 21:00,617.93,619.47,614.43,616.06,2669.385
2026-02-10 22:00,616.06,619.87,616.06,619.23,1971.902
2026-02-10 23:00,619.23,620.47,617.89,619.85,2000.568
2026-02-11 00:00,619.85,623.35,619.49,622.75,2781.676
2026-02-11 01:00,622.74,623.23,620.23,620.73,2050.996
2026-02-11 02:00,620.73,624.14,620.01,620.03,2329.447
2026-02-11 03:00,620.04,620.63,615.34,617.49,3947.836
2026-02-11 04:00,617.49,618.69,609.37,610.68,11236.124
2026-02-11 05:00,610.69,612.79,607.49,608.3,5739.735
2026-02-11 06:00,608.31,608.92,597.61,599.32,23925.581
2026-02-11 07:00,599.33,603.07,598.75,600.77,6921.336
2026-02-11 08:00,600.76,602.15,594.09,595.88,20658.658
2026-02-11 09:00,595.88,599.1,592.56,593.58,7514.604
